date,corona,capsule,machine,homecafe
2019-04-28,0.00727,17.36457,29.6034,20.0464
2019-04-29,0.00851,23.08874,36.85508,21.53132
2019-04-30,0.00727,18.05608,31.17466,20.0928
2019-05-01,0.00623,16.36573,31.8867,21.53132
2019-05-02,0.00684,16.5194,31.00759,20.51044
2019-05-03,0.0077,16.17364,32.08958,18.65429
2019-05-04,0.00697,15.32846,24.57138,16.05568
2019-05-05,0.00811,15.55897,24.59127,16.61252
2019-05-06,0.00754,19.55436,35.06503,22.32018
2019-05-07,0.0078,18.70918,37.72624,20.0464
2019-05-08,0.0077,18.74759,35.34349,17.86542
2019-05-09,0.00705,17.59508,34.35299,20.0464
2019-05-10,0.00803,17.01882,30.07677,17.44779
2019-05-11,0.0078,18.93968,30.7371,17.587
2019-05-12,0.0078,18.325,28.13954,22.04176
2019-05-13,0.00786,18.67076,32.3004,23.71229
2019-05-14,0.00796,21.05263,35.94017,21.71693
2019-05-15,0.00713,18.24817,30.97975,21.53132
2019-05-16,0.00902,19.2086,29.31301,22.69141
2019-05-17,0.00851,15.32846,25.52209,20.46403
2019-05-18,0.00925,15.44371,23.20299,19.30394
2019-05-19,0.00933,18.01767,29.57953,20.69605
2019-05-20,0.00866,20.0922,33.91145,23.06264
2019-05-21,0.00913,18.67076,32.20096,19.48955
2019-05-22,0.00882,19.01651,30.37113,20.46403
2019-05-23,0.01021,17.74875,29.97732,20.69605
2019-05-24,0.00866,16.7499,27.22463,20.88167
2019-05-25,0.00819,14.13753,22.85293,21.85614
2019-05-26,0.00868,16.55781,23.86729,24.96519
2019-05-27,0.01063,19.59277,32.41974,23.43387
2019-05-28,0.00982,17.55666,38.28314,24.54756
2019-05-29,0.00937,22.47406,35.29177,21.67053
2019-05-30,0.00854,19.28543,34.711,21.90255
2019-05-31,0.0086,14.56012,29.40053,18.14385
