날짜,코로나,홈까페,커피머신
2020-12-03,20.65972,34.39153,43.44974
2020-12-04,32.96475,19.57671,41.15988
2020-12-05,21.59925,31.21693,53.90944
2020-12-06,26.35378,36.50793,54.59409
2020-12-07,25.79867,34.39153,46.40699
2020-12-08,21.5786,43.38624,49.04205
2020-12-09,22.36989,38.09523,52.85656
2020-12-10,21.95751,30.15873,48.43794
2020-12-11,25.75261,28.57142,44.6522
2020-12-12,45.52264,32.27513,47.35055
2020-12-13,46.28487,38.09523,61.46942
2020-12-14,44.52544,39.15343,52.18341
2020-12-15,34.52029,34.39153,54.59985
2020-12-16,36.74064,35.44973,53.7656
2020-12-17,33.3388,38.62433,48.73712
2020-12-18,27.70343,32.27513,46.07329
2020-12-19,22.92583,43.91534,61.56147
2020-12-20,25.35365,44.97354,64.61653
2020-12-21,29.58536,29.10052,60.24969
2020-12-22,23.47876,38.09523,51.71739
2020-12-23,21.73691,32.80423,51.70588
2020-12-24,16.94496,25.39682,43.83522
2020-12-25,19.66282,29.62962,51.71739
2020-12-26,20.84279,26.98412,58.14395
2020-12-27,24.77112,50.26455,64.89269
2020-12-28,20.51006,35.97883,53.69081
2020-12-29,19.01932,40.74074,53.98423
2020-12-30,16.36194,39.15343,57.67217
2020-12-31,14.79837,39.15343,52.25821
2021-01-01,13.4156,33.86243,58.54668
2021-01-02,16.22807,42.32804,61.19901
2021-01-03,14.26351,43.91534,62.17708
2021-01-04,16.77767,46.03174,49.07657
2021-01-05,15.34404,28.04232,45.92946
2021-01-06,14.14839,35.97883,46.34946
2021-01-07,12.87621,26.98412,48.94424
2021-01-08,12.88449,32.80423,50.20424
2021-01-09,11.56469,28.57142,58.50066
2021-01-10,11.46201,32.80423,66.44036
2021-01-11,15.24003,41.79894,53.38012
2021-01-12,13.98564,32.27513,53.66779
2021-01-13,13.19831,43.91534,51.13054
2021-01-14,13.3166,32.80423,47.83959
2021-01-15,12.35382,35.44973,48.37466
2021-01-16,13.39787,32.80423,62.19435
2021-01-17,8.91524,51.32275,61.31983
2021-01-18,11.14364,28.57142,53.97272
2021-01-19,10.45461,39.68253,49.31822
2021-01-20,10.07328,30.68783,51.60232
2021-01-21,9.32934,29.10052,51.1478
2021-01-22,9.36749,34.92063,53.23053
2021-01-23,8.05184,42.32804,58.12093
2021-01-24,8.58933,31.74603,65.97433
2021-01-25,11.20032,28.04232,49.76123
2021-01-26,9.85509,34.92063,50.60123
2021-01-27,11.28332,28.04232,48.21356
2021-01-28,9.24881,34.92063,46.84425
2021-01-29,8.63566,21.16402,52.71848
2021-01-30,7.88136,35.44973,54.433
2021-01-31,11.34393,30.15873,56.15327
2021-02-01,7.96972,31.74603,45.88918
2021-02-02,7.60349,28.04232,45.89494
2021-02-03,8.01839,31.21693,42.74207
2021-02-04,7.29905,26.98412,43.35768
